Propozitie parsata in intregime: NN , NNP VBD RB .
Propozitie parsata in intregime: . VB VB NN , NNP VBD RB .
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
Propozitie parsata in intregime: . 
